"topic","date"," time","place","url","date published","article text"
"game","2023-05-15","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vd3d3LmVzcG4uY29tL21sYi9yZWNhcD9nYW1lSWQ9NDAxNDcxNjM40gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 22:49:18","CJ Abrams lifts one up and over the wall in right field for a solo shot to make it 7-2.  WASHINGTON -- — Joey Meneses drove in four runs as part of a four-hit day, CJ Abrams homered and the Washington Nationals defeated the New York Mets 10-3 on Monday to split a four-game series.  New York has lost nine of its last 13 and dropped 15 of 21 since its 14-7 start. The Mets are 0-5-2 in their last seven series and have not won consecutive games since taking three in a row from April 19-21. Big-spending New York fell to fourth in the NL East, 1 1/2 games ahead of last-place Washington.  “A lot of times you know what the problem is and you’re just trying to figure out ways to fix it,” Mets center fielder Brandon Nimmo said. “That’s what makes this sport difficult. I don’t really know. There’s probably a number of things you can point at.”  Patrick Corbin (2-5) earned his first home victory since last Aug. 28, surrendering two runs and eight hits over six innings.  The rebuilding Nationals, who scored in each inning they batted except the second, improved to 17-17 since losing five of their first six games.  “Let’s forget about the first week of the season,"" Washington manager Dave Martinez said. ""We’ve been playing really well. I want them to take that into consideration. Not just playing one team, but understanding where we’re at and what we’re doing. It’s been fun. They’re playing with a lot of energy. They come to the ballpark ready. They’re engaged. They’re going out there and they’re doing the simple things right.”  Meneses doubled in Lane Thomas with one out in the first to put New York in another early hole. The Mets have been outscored 37-9 in the first inning this season.  Meneses added another RBI double in the third off New York starter David Peterson (1-6). Keibert Ruiz followed with a sacrifice fly to make it 3-1.  The Nationals scored two more runs in the fourth and another in the fifth against Peterson, who allowed six runs and nine hits in five innings. Peterson has yielded at least four runs in six consecutive starts, and his ERA ballooned to a season-high 8.08.  “He knows he's capable of pitching well up here and he feels good physically,” manager Buck Showalter said. “That's what's been really frustrating for everybody. Some of the breaking balls have been inconsistent. I thought he had a little better one today, but he just never could get any footing where they had to guard against something.”  Abrams hit a solo shot off Tommy Hunter in the sixth. It was the second day in a row Abrams went deep, and three of his four homers this season have come against the Mets.  Meneses added a run-scoring infield single later in the inning and an RBI double in the eighth. He is hitting .452 (19 of 42) with 20 RBI with runners in scoring position.  The Mets managed three hits in two different innings against Corbin, but pushed across just one run in both of them — Jeff McNeil's RBI single in the second and Tommy Pham's sacrifice fly in the sixth.  New York has not homered since Pete Alonso's second-inning homer Wednesday at Cincinnati, a span of 52 innings. The Mets had two doubles among their 11 hits Monday, while seven of Washington's 15 hits went for extra bases.  “We know what we’re doing right now is not producing wins, but we also know this team is very capable of that,” Nimmo said. “Look to what you’ve done in the past, look at things that have helped in the past and be open to new information on how we can get better. Then when you get up to the plate, it’s compete time. It’s time to grind it out.”  TRAINER'S ROOM  Mets: Showalter said RHP Carlos Carrasco (elbow inflammation) could return from the injured list Friday or Saturday if his between-starts work day goes well. Carrasco pitched four shutout innings Sunday in a rehabilitation start for Double-A Binghamton.  Nationals: Washington activated OF Corey Dickerson (left calf strain) from the injured list and optioned INF/OF Jake Alu to Triple-A Rochester. Dickerson had been on the IL since April 2.  UP NEXT  Mets: RHP Justin Verlander (1-1, 2.25 ERA) makes his first home start at Citi Field on Tuesday as New York begins a three-game series against majors-best Tampa Bay.  Nationals: RHP Josiah Gray (3-5, 2.96) starts Tuesday in the opener of a three-game series at Miami.  ------  AP MLB: https://apnews.com/hub/MLB and https://twitter.com/AP--Sports"
"game","2023-05-15","Not Discerned","{""Denver"", ""Colorado"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LmVzcG4uY29tL21sYi9yZWNhcC9fL2dhbWVJZC80MDE0NzE2NDHSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 04:54:50","Brenton Doyle speeds in to make a fantastic diving catch for the Rockies in the seventh inning.  DENVER -- — Rookie Brenton Doyle had first first multihomer game and Harold Castro had a tiebreaking, two-run double with two outs in the seventh inning that lifted Colorado over the Cincinnati Reds 9-8 Monday night for the Rockies’ 10th win in 14 games.  With the score 6-6, Ryan McMahon singled off Ben Lively (1-1) leading off the seventh. Luke Sims, who hadn't allowed a run in 11 appearances this season, relieved with one out and walked Randal Grichuk with two outs.  Castro doubled off the base of the right-field wall, giving him three hits and three RBI, and putting the Rockies ahead 8-6.  “He gets hits,"" Rockies manager Bud Black said. ""He’s a little bit of a slasher, a little bit of a low on-base compared to the batting average. There’s not a big gap between average and on-base, but the guy puts the bat on the ball. He’s a steady performer in a lot of ways. It was a good night for him.”  Wil Myers' sacrifice fly in the eighth cut the gap, and Doyle homered off Buck Farmer in the bottom half. Doyle, a 25-year-old who debuted on April 24, has four homers in 17 games. He went deep Sunday on his birthday in a 4-0 win over Philadelphia.  “With your mindset, there’s a huge shift,"" Doyle said. ""You gain so much momentum and confidence. You go up there looking at the damage and you know you can do damage because you’ve been swinging the bat well.”  Nick Senzel hit an RBI single in the ninth against Pierce Johnson, who with two on retired Henry Ramos on a game-ending flyout for his seventh save in seven chances.  Daniel Bard (1-0) pitched around a walk in the seventh, getting help when Doyle sprinted in from center to make a diving catch on Spencer Steer leading off. Steer had three hits.  Mike Moustakas also homered for Colorado. The Rockies are 9-4 in May, the second-best win percentage in the major leagues this month behind the Los Angeles Dodgers.  Cincinnati, which trailed 4-1 and 6-4, is 22-44 at Coors Field since 2002.  Reds starter Hunter Greene gave up six runs and nine hits in four innings with eight strikeouts. He had allowed four home runs in his first eight starts.  Greene averaged 98.2 mph with his fastball, down 0.6 mph from his season average, and reached 100 mph just once.  “I pitched really well tonight,"" Greene said. ""There were pitches that I doubled up on that I shouldn’t have. Those double-ups weren’t as good as the prior pitch.”  Colorado's Connor Seabold gave up six runs — four earned — eight hits and three walks in 4 1/3 innings.  TRAINER’S ROOM  Rockies: RHP Nick Mears (left oblique strain) was placed on the 15-day injured list. Colorado selected the contract of LHP Fernando Abad from Triple-A Albuquerque.  Reds: 1B Joey Votto (left biceps, left rotator cuff surgeries) was transferred to the 60-day injured list. … OF TJ Friedl (left oblique strain) was placed on the 10-day injured list, retroactive to Friday. In 124 at-bats this season, Friedl is hitting .306. INF Matt McClain's contract was selected from Triple-A Louisville, where he was hitting .348 in 38 games.  UP NEXT  Rockies RHP Chase Anderson, claimed off waivers from Tampa Bay on Friday, is to start Tuesday night in his Rockies debut. He pitched five scoreless innings for the Rays in two relief appearances this year. LHP Brandon Williamson, a 25-year-old left-hander, will make his big league debut for the Reds after going 2-4 with a 6.62 at Triple-A Louisville.  ------  AP MLB: https://apnews.com/hub/mlb and https://twitter.com/AP--Sports"
"game","2023-05-15","Not Discerned","{""Middleton"", ""Wisconsin"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm5iYzE1LmNvbS8yMDIzLzA1LzE2L2FubnVhbC1zdHJpa2Utb3V0LWNhbmNlci1nYW1lLXJldHVybnMtbWlkZGxldG9uL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 04:03:00","MADISON, Wis. (WMTV) - An annual baseball game that raises money for pediatric cancer research returned for its ninth annual face off Monday.  This year, Middleton was against Sun Prairie East -- two long-time Big Eight Conference rivals -- at the Middleton High School Otto Breitenbach Stadium.  All the proceeds from the game went to the American Family Children’s Hospital pediatric cancer research. Over the past eight years, the programs have raised over $152,000 to go towards the fight to cure cancer.  Sun Prairie East beat Middleton 6-0.  Click here to download the NBC15 News app or our NBC15 First Alert weather app.  Copyright 2023 WMTV. All rights reserved."
"game","2023-05-11","13:30:00","{""PalmSprings"", ""California"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vYXJpem9uYXNwb3J0cy5jb20vc3RvcnkvMzUyMzU2Mi9hcml6b25hLXNjaGVkdWxlcy10aGFua3NnaXZpbmctZ2FtZS12cy1taWNoaWdhbi1zdGF0ZS_SAWJodHRwczovL2FyaXpvbmFzcG9ydHMuY29tL3N0b3J5LzM1MjM1NjIvYXJpem9uYS1zY2hlZHVsZXMtdGhhbmtzZ2l2aW5nLWdhbWUtdnMtbWljaGlnYW4tc3RhdGUvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 18:31:00","The Arizona Wildcats men’s basketball team will face the Michigan State Spartans on Thanksgiving of 2023.  The Acrisure Classic, an inaugural event in Palm Springs, Calif, will tip off at 1:30 p.m. MST on Thursday, Nov. 23.  It will air on FOX immediately riding the audience of a nationally televised NFL matchup between the Detroit Lions and the Green Bay Packers.  Each school will also host a to-be-determined opponent on their respective home courts as part of the Acrisure Invitational.  Arizona and Michigan State have played one another seven times prior, with the Wildcats going 5-2 against the Spartans.  Their meeting this Thanksgiving will be the first college basketball game at Acrisure Arena, which opened in December 2022. It is primarily a concert venue but also hosts the American Hockey League affiliate of the Seattle Kraken.  Tickets for the Arizona-Michigan State game go on sale on Wednesday at 10 a.m. They will be available online at acrisurearena.com and ticketmaster.com.  Arizona vs. Michigan State basketball all-time series  Jan. 2, 1947 – Arizona wins, 45-43, in East Lansing, Mich.  Dec. 29, 1987 – Arizona wins, 78-58, in Tucson, Ariz.  Dec. 11, 1999 – Arizona wins, 79-68, in Tucson, Ariz.  March 31, 2001 – Arizona wins, 80-61, in Minneapolis, Minn.  Dec. 15, 2001 – Michigan State wins, 74-60, in East Lansing, Mich.  Nov. 23, 2005 – Michigan State wins, 74-71 (OT), in Lahaina, Hawaii  Nov. 11, 2016 – Arizona wins, 65-63, in Honolulu, Hawaii  Follow @AZSports"
"game","2022-07-16","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3Lmpwb3N0LmNvbS9oZWFsdGgtYW5kLXdlbGxuZXNzL21pbmQtYW5kLXNwaXJpdC9hcnRpY2xlLTc0MzE0M9IBSmh0dHBzOi8vbS5qcG9zdC5jb20vaGVhbHRoLWFuZC13ZWxsbmVzcy9taW5kLWFuZC1zcGlyaXQvYXJ0aWNsZS03NDMxNDMvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 21:51:00","The potential effects of video games on mental health has been a long-drawn-out debate. Some people argue that relaxing with a video game has positive impacts on an individual, while others fear that video games can be addictive and promote negative mood changes.  A new peer-reviewed study, published in the journal Sociological Focus, has sort out to answer this heated debate.  How did the researchers find the answer?  The research team analyzed members of an online football simulation gaming site.  In the simulation, players play as a head coach of a football team. The players compete against one another to have the most successful team. The game also allows for communication between competing players.  The players were surveyed at the beginning and end of each game's season for a period of 10 months.  37 players responded before playing the game, 40 responded after playing the game and 30 responded both before and after.  (credit: INGIMAGE)  The surveys included questions on depressive symptoms and abilities to communicate personal issues. The players were also asked to list how many people in real life and online they spoke to about things impacting them.  “We wanted to showcase the community building and informal relationships built through these online settings,” Dr. Tyler Prochnow from the Department of Health Behavior at Texas A&M University’s School of Public Health said. “Many people feel a sense of community, support, and comfort through online gaming, and I think we need to do a better job measuring these connections and fostering them to improve mental health in today’s digital age.”  What did the research find?  The researchers found that the size and quality of a social network directly impacted depressive episodes. Online social networks enabled people to find support in coping with their problems.  Players without a strong real-life social network were also more likely to use the online network for support. Players in this situation were also more likely to spend a long time online.  Additionally, the researchers found that a sense of community, and the presence of depressive episodes, could alter the social structure of the group over time.  It is worth noting that the study was based on one type of non-violent video game, and thus the findings cannot be applied as a general rule."
"game","2023-05-13","Not Discerned","{""Philadelphia"", ""Pennsylvania"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LndidXIub3JnL25ld3MvMjAyMy8wNS8xNS9ib3N0b24tY2VsdGljcy1uYmEtcGxheW9mZnMtNzZlcnPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 10:01:38","Jayson Tatum gave Boston a long-overdue fast start and followed it up with a finish the NBA had never seen before.  After struggling in back-to-back games, Tatum erupted for 51 points – the most in a Game 7 in history — and the Celtics beat the Philadelphia 76ers 112-88 on Sunday to advance to the Eastern Conference finals for the second straight year.  One game after missing 14 of his first 15 shots only to awaken in the fourth quarter in time to save their season, Tatum scored 25 in the back-and-forth first half and 17 more in Boston’s 33-10 third quarter that turned a three-point lead into a runaway.  The Celtics, who lost to the Golden State Warriors in the NBA Finals last year, will face the Miami Heat in the East finals for the second straight season. Game 1 is on Wednesday in Boston.  “I was relieved just to get another chance. Our season could have been over after Game 6,” said Tatum, who broke the Game 7 record of 50 points Stephen Curry set two weeks ago. ""It definitely was on my mind that I had played as bad as it could get, for 43 minutes.  “We had a saying: ‘It’s only up from here.’”  Tatum added 13 rebounds and Jaylen Brown scored 25 points for Boston, which rallied from a 3-2 deficit in the series to keep alive their hopes for an unprecedented 18th NBA championship.  “You always come into a series with the expectation of how it’s supposed to go,” said Celtics coach Joe Mazzulla, who is in his first year as an NBA head coach after being promoted on the eve of training camp after Ime Udoka was suspended. “That’s not how the playoffs are.”  Tatum was subbed out of the game with three minutes left to a standing ovation from the crowd, which soon broke out in a “Beat the Heat!” chant. Miami beat Boston in six games in the 2020 East finals and the Celtics took a seven-game matchup last season.  “It’s the best time of the year,” Tatum said. “As a competitor, I love the opportunity.”  Newly crowned NBA MVP Joel Embiid scored 15 points on 5-for-18 shooting, and Tobias Harris scored 19 for Philadelphia. The Sixers lost in the conference semifinals for the third straight year, and the fifth time in six seasons; they have not gotten any farther since reaching the NBA Finals in 2001 despite “The Process” — tanking their way to four top-three draft picks in a row, including Embiid.  “I thought we had the right group. I really did,” said Sixers coach Doc Rivers, who was on the Boston bench when the Celtics won it all in 2008. “We played great all year and this loss absolutely diminishes what we did this year in some way. ... I think this team is headed right. I thought we took another step this season. And then tonight I think we took a step backward. But that’s OK. That happens, too.”  Tatum started 0 for 6 in a Game 5 loss and missed 14 of his first 15 shots overall from the floor in Game 6 before making four 3-pointers in the final 4:14 to force the decisive seventh game.  He picked up where he left off, scoring Boston’s first basket and 11 points in the first quarter, 14 more in the second and outscoring the Sixers on his own, 17-10, in the third. The 33-10 edge in the third was the most lopsided quarter in a Game 7 since at least 1997.  “JT just got it going and get out of that man’s way,"" Brown said. ""He got it rolling, and there’s nothing they could do to stop him.”  Banged-Up Brown  Brown began the game with the black mask he has worn since breaking a bone in his face before the All-Star break. He took it off and soon absorbed an elbow to the face from James Harden, who was assessed a flagrant foul.  Brown continued without the mask but finished the half with cotton in his left nostril. He also played with an edge, making both foul shots and following it with a steal and layup as Boston went on a 9-0 run to erase a 35-26 deficit.  Brown also dove into the Sixers bench to save a ball, then had words with the bench after Georges Niang grabbed his leg and kept him from getting back on the court. Both players were given technical fouls.  Williams followed the commotion with a layup that tied the score 35-all.  “Nothing like a shot to the face to wake you right up,” Brown said.  What's Up, Doc?  Rivers is 6-10 in seventh games. The 10 defeats are five more than any other NBA coach and three more than the NHL's Mike Babcock and Bruce Boudreau. His teams are 6-16 in their last 22 chances to close out an opponent in a playoff series.  Asked if he expected to be back next year, Rivers said: ""Yeah. I think I got two years left. No one is safe in our business and I get that.”  Harden also could be gone if the Sixers opt for an overhaul. He has the opportunity to become a free agent this offseason.  “We’ve got an unfinished job. We haven’t won anything and I think we’ve got the chance to win,"" Embiid said. ""We’ve got what it takes to win. ... I still believe me and him have the chance to win. But it’s going to take more than us.”  Tip-Ins  Tatum is the sixth player since 1997 to score 25 points or more in the first half of a seventh game. The last was Luka Doncic, who had 29 against the Clippers in the first round of the 2021 playoffs. Paul Pierce scored 26 for the Celtics against Cleveland in the second round in 2008. … The 10 points Philadelphia scored were tied for the fewest in any Game 7 quarter in the shot clock era."
"game","2023-05-05","Not Discerned","{""NewYork"", ""NewYork"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vZ2lhbnRzd2lyZS51c2F0b2RheS5jb20vbGlzdHMvbmV3LXlvcmstZ2lhbnRzLWdhbWUtYnktZ2FtZS1wcmVkaWN0aW9ucy0yMDIzLXJlZ3VsYXItc2Vhc29uL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 14:55:00","The 2023 regular season schedule is officially out and the New York Giants got the raw end of the deal.  By every metric and measure, the Giants were handed the league’s most difficult schedule — especially early on. They will play three games in 11 days to start, four prime time games over their first six, and seven of their first 11 games will come on the road.  That’s a tough challenge for anyone, but don’t expect head coach Brian Daboll to complain about it. He’ll have his guys focused and ready to go from the jump.  But how will the Giants do facing such an unrelenting schedule? Let’s try to predict it.  Here are the way-too-early game-by-game predictions from those of us at Giants Wire."
"game","2023-05-11","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3Lm5iY3Nwb3J0cy5jb20vcGhpbGFkZWxwaGlhL3BoaWxsaWVzL3BoaWxsaWVzLWJyYXZlcy1nYW1lLXNlcHRlbWJlci1tb3ZlZC1lYWdsZXMtdmlraW5nc9IBZ2h0dHBzOi8vd3d3Lm5iY3Nwb3J0cy5jb20vcGhpbGFkZWxwaGlhL3BoaWxsaWVzL3BoaWxsaWVzLWJyYXZlcy1nYW1lLXNlcHRlbWJlci1tb3ZlZC1lYWdsZXMtdmlraW5ncz9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 19:25:10","The Phillies-Braves game scheduled for Sept. 14 at Citizens Bank Park has been moved to Sept. 11 to accommodate Eagles-Vikings on Sept. 14 at Lincoln Financial Field, the Phillies announced on Monday.  This should alleviate some excessive traffic on Sept. 14 at the sports complex in South Philly.  “Thanks to the collaborative efforts of the Braves, Major League Baseball and the reigning NFC Champion Philadelphia Eagles, we were fortunate to be able to move our game to Monday night on September 11,” Phillies executive vice president David Buck said in a statement.  “This was an easy decision for all, as the move to avoid conflicting game times is a win for Philadelphia sports fans. It will no doubt be a fun and busy week in the Sports Complex with the Phillies-Braves series September 11-13, followed by the Eagles-Vikings game on Thursday, September 14 at 8:15 p.m.”  All fans who have tickets to the originally scheduled Phillies-Braves game on Sept. 14 (4:05 p.m.) will be admitted to the Sept. 11 (6:40 p.m.) game. The Independence Blue Cross Senior Stroll the Bases promotion will be moved to the Aug. 30 game against the Angels.  The Phillies will now host the Braves on Sept. 11, Sept. 12 and Sept. 13 and will have an off day on Sept. 14 before traveling to St. Louis for a three-game series against the Cardinals.  That Thursday Night Football game will be the Eagles’ home opener in Week 2 of the 2023 NFL season. They begin the season on the road in New England and will come home and face the Vikings on a short week.  “We greatly appreciate the willingness of the Phillies, the Braves and Major League Baseball to adjust their schedule,” Eagles president Don Smolenski said in a statement. “In what has shaped up to be a very busy week in Philadelphia sports, this accommodations is a tremendous example of our close relationship with our friends at the Phillies.”  “Our organizations are philosophically aligned on providing our fans the best experience possible on game day and this adjustment will help to alleviate any congestion concerns in the sports complex that arise when multiple events are held concurrently.”"
"game","2023-05-15","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvamFtaWUtZm94eC1kYXVnaHRlci1jb3JyaW5lLXRvLWhvc3QtdHJpdmlhLWdhbWUtc2hvdy13ZS1hcmUtZmFtaWx5L9IBZGh0dHBzOi8vd3d3LmNic25ld3MuY29tL2FtcC9uZXdzL2phbWllLWZveHgtZGF1Z2h0ZXItY29ycmluZS10by1ob3N0LXRyaXZpYS1nYW1lLXNob3ctd2UtYXJlLWZhbWlseS8?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 21:33:00","On Monday, Corrine Foxx confirmed on Instagram that she and her father, the actor Jamie Foxx, will be hosting the guessing trivia game show ""We Are Family"" starting in 2024.  The announcement came days after she addressed her father's condition following a ""medical complication"" last month.  ""Verified WE ARE FAMILY coming 2024! The Foxx Family is headed back to our home on @foxtv & we can't wait for this new show!"" Corrine Foxx wrote under the image of an article announcing the game show.  Just a few days ago she shared an update about the 55-year-old actor's health on Instagram, after reports surfaced online that his condition had worsened.  On her Instagram story, Corrine shared another account's post that had reported Foxx's loved ones were ""preparing for the worst."" In an effort to debunk that, she wrote: ""My Dad has been out of the hospital for weeks, recuperating. In fact, he was playing pickleball yesterday! Thanks for everyone's prayers and support!""  The account deleted the report and Corrine's story has since disappeared, but Entertainment Tonight obtained screenshots.  Rumors regarding Foxx's condition have continued to spread despite him making a public statement on his Instagram earlier this month.  In his first statement following his hospitalization in April, Foxx wrote: ""Appreciate all the love!!! Feeling blessed,"" followed by a series of emojis of prayer hands, a heart, and a fox.  Foxx broke his silence three weeks after his daughter said in a statement her father had been admitted to the hospital for an undisclosed condition.  ""Luckily, due to quick action and great care, he is already on his way to recovery,"" Corrine Foxx wrote on Instagram. ""We know how beloved he is and appreciate your prayers."""
"game","2023-05-14","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3Z1c3BvcnRzLmNvbS9uZXdzLzIwMjMvNS8xNS9iYXNlYmFsbC13ZXRoZXJob2x0LWNvbGxlY3RzLWhvbm9ycy1mcm9tLXBlcmZlY3QtZ2FtZS1iaWctMTLSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 20:37:41","JJ Wetherholt  JJ Wetherholt  After another superb week, sophomorehas been named Perfect Game/Rawlings Player of the Week as well as Big 12 Co-Player of the Week.In four games last week, Wetherholt hit .500 (8-for16), with two home runs, two doubles, four RBI, and three runs scored while also adding a pair of stolen bases.He opened the week with a three-hit performance against Pitt, including a home run, to help lead the Mountaineers to a season sweep in the Backyard Brawl. Wetherholt then followed with hits in all three games against Texas Tech over the weekend, highlighted by a game-tying home run on Sunday before WVU went on to win the game and the series.For the season, the Mars, Pennsylvania native now has a slash line of .466/.829/.530, with 21 doubles, 2 triples, 15 home runs, 56 RBI, and 35 stolen bases as he is putting together the most impressive season in Mountaineer history.It is the third time this season that Wetherholt has earned Big 12 Player of the Week status and fourth time that a Mountaineer has earned the honor this season (, April 24). Overall, it is the 17time that a WVU player has picked up the honor since joining the league in 2013.Wetherholt and the Mountaineers will be back in action this Thursday-Saturday to take on Texas in Austin for the final series of the regular season. West Virginia is currently 39-13 and 15-6 in Big 12 play, sitting in first by two games with just three to play.: Hunter Hollan, ArkansasChase Adkison, Oklahoma StateNolan Schubart: Oklahoma StateKole Klecker, TCUFor more information on the Mountaineers, follow @WVUBaseball on Twitter Facebook and Instagram"
"game","2023-05-14","Not Discerned","{""Fayetteville"", ""Arkansas"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vYXJrYW5zYXNyYXpvcmJhY2tzLmNvbS9ob2xsYW5zLWNvbXBsZXRlLWdhbWUtbGlmdHMtaG9ncy10by1zZXJpZXMtd2luL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Sun 14 May 2023 23:27:18","Hollan's Complete Game Lifts Hogs to Series Win  FAYETTEVILLE, Ark. – Hunter Hollan threw a complete game gem to lift No. 3 Arkansas (38-13, 19-8 SEC) to a 5-1 series-clinching win against No. 6 South Carolina (37-14, 15-11 SEC) on Sunday afternoon at Baum-Walker Stadium.  With the win, the Hogs secured their seventh SEC series victory of the season and improved to 30-4 at home this year.  Hollan struck out a career-high 10 batters, limiting the Gamecocks to just one run on five hits and one walk. The left-hander threw a season-high 113 pitches in his nine-inning complete game and recorded 19 consecutive outs until a two-out single in the top half of the ninth inning.  The performance marks the Razorbacks’ first complete game of at least nine innings against an SEC team since Dominic Taccolini’s 10-inning complete game shutout against Kentucky in 2016. Hollan is the second Arkansas pitcher to throw a complete game this season after Will McEntire twirled a nine-inning complete game against Louisiana Tech on April 11.  South Carolina’s lone run of the game came via a leadoff home run in the top of the third. Hollan was untouchable from that point forward, however, allowing the Arkansas offense to hit its groove and take control of the ballgame.  John Bolton’s one-out RBI double to right center in the bottom half of the third tied things at one apiece before Parker Rowland’s go-ahead two-run single to center in the fifth. Rowland’s clutch piece of hitting put the Hogs ahead, 3-1.  Arkansas tacked on two more runs with a two-out RBI single by Caleb Cali in the sixth followed by a two-out solo home run by Ben McLaughlin in the eighth, extending the lead to 5-1. Cali and Peyton Holt both finished with a team-leading three hits, and Rowland collected the Razorbacks’ lone multi-RBI performance of the game.  The Hogs’ four-run lead was more than enough for Hollan to protect as he finished off his complete game with a scoreless ninth inning, securing the Razorbacks’ series-clinching win and put the Hogs in the driver’s seat of the SEC.  Arkansas now owns a one-and-a-half-game lead over LSU in the SEC Western Division and a one-game lead over Florida in the overall SEC standings with three games left to play in the regular season.  Up next, the Hogs will travel to Nashville, Tenn., to close out the regular season at Vanderbilt. First pitch between the Razorbacks and Commodores is scheduled for 6 p.m. Thursday, May 18, on SEC Network.  For complete coverage of Arkansas baseball, follow the Hogs on Twitter (@RazorbackBSB), Instagram (@RazorbackBSB) and Facebook (Arkansas Razorback Baseball)."
"game","2023-05-14","Not Discerned","{""Boston"", ""Massachusetts"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMijwFodHRwczovL3d3dy5jYnNzcG9ydHMuY29tL25iYS9uZXdzL2RvYy1yaXZlcnMtY29tbWVudHMtb24tam9iLXNlY3VyaXR5LXdpdGgtNzZlcnMtYWZ0ZXItbGF0ZXN0LWdhbWUtNy1sb3NzLW5vdGVzLWhlLWhhcy10d28teWVhcnMtbGVmdC1pbi1kZWFsL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Sun 14 May 2023 23:46:00","Doc Rivers extended one of the more dubious streaks in coaching on Sunday. Despite entering each of the past four seasons with championship expectations, he has managed to lose in the second round four years in a row. His teams led three of the four series after five games, and his team had the higher seed in two of those collapses. Sunday was perhaps the worst of them all. Despite leading for most of the first half, the 76ers fell apart against the Boston Celtics, Rivers' former team, in a 33-10 third-quarter debacle. That gave Rivers his NBA record 10th Game 7 loss. No other head coach has more than five Game 7 losses.  As such, questions have immediately arisen surrounding Rivers' job security. While he initially signed a five-year deal to take over the 76ers in 2020, each playoff defeat has been more devastating than the last and the 76ers will now have to consider whether or not they want to give Rivers the chance to lead them for a fourth season. Rivers addressed the rumors at his post-game press conference Sunday, and while he wouldn't deny the inherent insecurity of his profession, he did suggest that he plans to be back next season. ""Yeah. I think I got two years left,"" Rivers said. ""No one is safe in our business and I get that.""  Rivers isn't the only notable 76er whose future is in question. James Harden can be a free agent after re-signing in Philadelphia on a one-year deal with a player option for a second. Rumors have linked him to his old team, the Houston Rockets, all season. He claimed that he has not thought about free agency yet, but that he thinks his current team still has room to grow. ""It's only Year 1 for us together,"" Harden said.  Looming over every decision Philadelphia makes this offseason is Joel Embiid's future. While the MVP winner is under contract for at least three more seasons, superstars are rarely satisfied with humiliating playoff defeats on a seemingly annual basis. All it will take to upend this franchise is one trade request. Embiid has given no indication yet that he plans to leave Philadelphia, but NBA history tells us that he won't be satisfied with second-round exits forever. Embiid did comment on Rivers' future in Philly after Game 7, saying the coach has done a ""fantastic job.""  That is going to inform whatever the 76ers do with Rivers, Harden and the rest of their team this offseason. The clock was already ticking. After what happened on Sunday, Philadelphia will have to make major moves to keep their best player happy. The logical place to start that process would be with a new coach."
