"topic","date"," time","place","url","date published","article text"
"shooting","2017-10-15","Not Discerned","{""Farmington"", ""NewMexico"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjMvMDUvMTUvbmV3LW1leGljby1zaG9vdGluZy1wb2xpY2UtMDAwOTcwMzPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 22:06:44","“The suspect’s identity is unknown and there are no other known threats at this time,” police said, adding that city, San Juan County and State Police were involved.  Police did not release the names of those who were killed or wounded or give details about what led to the shootings.  After the shootings were reported, the city’s schools were placed on what officials called “preventative lockdown.”  Middle school teacher Nick Akins, whose home is on a street near the crime scene that police locked down, described the neighborhood as a mostly great place to live, with a mix of homes, short-term rental apartments and churches.  “It’s not like the roughest area in town, but it can be,” he said. “We have great neighbors and rentals, people who come and go. We don’t always know everyone.”  Seeing Farmington in the national spotlight for yet another mass shooting, particularly one that occurred on his street, was surreal for him.  “You never think it’s going to happen here and all of a sudd"
"shooting","2018-12-06","Not Discerned","{""Farmington"", ""NewMexico"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDUvMTUvdXMvZmFybWluZ3Rvbi1uZXctbWV4aWNvLXNob290aW5nLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 03:00:00","An 18-year-old gunman fired indiscriminately at houses and vehicles while roaming a residential street in Farmington, N.M., on Monday morning, killing three people — including a 97-year-old woman and her daughter — before the police arrived and killed the suspect in a firefight, the authorities said. Six other people, including two officers, were injured.  The police identified the suspect as Beau Wilson, a student at Farmington High School who went on the rampage with three firearms, including an assault-style rifle. More than 100 rounds were fired between the suspect and police, with at least three officers rushing to the scene without body armor because the shooting started when they were on their way to lunch, the authorities said.  Officials said on Tuesday that they were still investigating the motive. Deputy Chief Kyle Dowdy of the Farmington Police Department said at a news conference that while the suspect had committed minor infractions as a juvenile, there was “nothing that"
"shooting","2023-05-13","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmxpdmU1bmV3cy5jb20vMjAyMy8wNS8xNS9nb29zZS1jcmVlay1tYW4ta2lsbGVkLXdlZWtlbmQtc2hvb3RpbmctY29yb25lci1zYXlzL9IBaWh0dHBzOi8vd3d3LmxpdmU1bmV3cy5jb20vMjAyMy8wNS8xNS9nb29zZS1jcmVlay1tYW4ta2lsbGVkLXdlZWtlbmQtc2hvb3RpbmctY29yb25lci1zYXlzLz9vdXRwdXRUeXBlPWFtcA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 18:17:00","BERKELEY COUNTY, S.C. (WCSC) - The Berkeley County Coroner’s Office has released the name of a victim in a Saturday night shooting.  Earl Goodwater, 53, died from injuries he suffered in a shooting on Westminster Boulevard, coroner Darnell Hartwell said.  He said the coroner’s office was notified at 10:34 p.m. about the shooting.  Goodwater died at the scene of the incident, Hartwell confirmed.  The Berkeley County Sheriff’s Office has not released details on the shooting.  Copyright 2023 WCSC. All rights reserved."
"shooting","2023-05-14","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmF6Y2VudHJhbC5jb20vdmlkZW9zL25ld3MvbG9jYWwvZ2xlbmRhbGUvMjAyMy8wNS8xNS92aWRlby1zdXNwZWN0LXdhbnRlZC1yYW5kb20tc2hvb3RpbmctZ2xlbmRhbGUvMTE4NzI5MjUwMDIv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 17:04:41","Video of suspect wanted in random shooting in Glendale  The suspect is wanted on an aggravated assault charge for a shooting in Glendale, according to information from Silent Witness."
"shooting","2023-05-15","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3dvcmxkL2dpcmwtd291bmRlZC1zZXJiaWFuLXNjaG9vbC1zaG9vdGluZy1oYXMtZGllZC1icmluZ2luZy1kZWF0aC10b2xsLTEw0gFmaHR0cHM6Ly93d3cuZm94bmV3cy5jb20vd29ybGQvZ2lybC13b3VuZGVkLXNlcmJpYW4tc2Nob29sLXNob290aW5nLWhhcy1kaWVkLWJyaW5naW5nLWRlYXRoLXRvbGwtMTAuYW1w?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 20:45:00","Serbian state television says a girl who was gravely injured from a shooting in a school in Belgrade earlier this month died on Monday, bringing the death toll to 10.  The girl had been in critical condition since the May 3 attack.  The shooting occurred at Vladislav Ribnikar elementary school in central Belgrade when a 13-year-old boy took his father’s gun and opened fire inside killing eight children and a school guard and wounding six students and a teacher.  A girl who was gravely wounded in a mass shooting in a school in Belgrade earlier this month has died, bringing the death toll to 10, authorities said on Monday.  The girl died on Monday morning at a children's clinic in Belgrade, Serbia's health ministry said, according to official media. The girl had been in critical condition with head injuries following the May 3 attack, said a statement.  The shooting happened in the Vladislav Ribnikar elementary school in central Belgrade when a 13-year-old boy took his father's gun and opened fire, initially killing eight children and a school guard, and wounding six students and a teacher.  The first ever school shooting in Serbia stunned the Balkan country. A day later a 20-year-old randomly fired from an automatic weapon in two villages south of Belgrade, killing eight people and wounding 14.  The two mass killings in as many days triggered calls for action. Tens of thousands of people have marched in protests in Belgrade and other towns and cities demanding resignations of top officials and a ban on pro-government television stations that air violent content and host war criminals and crime figures.  RUSSIAN WILDFIRES TEAR THROUGH URALS, SIBERIA  CLICK HERE TO GET THE FOX NEWS APP  Serbia's populist government has launched a gun crackdown that includes a one-month amnesty for those who voluntarily hand over unregistered weapons, as well as stricter control of gun owners, a moratorium on new licenses and prison sentences for possession of illegal guns.  Police have said that citizens handed over some 13,500 various weapons by Sunday. The amnesty period will last until June 8 but analysts have warned that similar actions in the past have had limited success.  Critics of populist President Aleksandar Vucic say the increasingly authoritarian Serbian leader who is a former pro-Russian ultranationalist, has contributed to an atmosphere of intolerance in society by fostering hate speech against opponents and taking strict control over mainstream media and state institutions.  Vucic has denied this. He has suggested that he might call an early election for September in response to the protests and mounting public pressure over the shootings."
"shooting","2023-05-15","09:20:00","{""BayouBlue"", ""Louisiana"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lmxwc28ubmV0LzIwMjMvMDUvMTUvb25lLWFycmVzdGVkLWluLXdlZWtlbmQtc2hvb3RpbmctaW4tYmF5b3UtYmx1ZS_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 01:48:32","Lafourche Parish Sheriff Craig Webre announced one man has been arrested in a shooting incident that occurred Saturday morning in Bayou Blue. Noah Mills, 20, of Bayou Blue was arrested on Monday after admitting to his involvement.  At around 9:20 a.m. on May 13, 2023, deputies responded to Smithwillow Drive in Bayou Blue after receiving a report about shots having been fired in that area. A blue Hyundai car was seen in the area at the time of the incident. A short time later, officers with the Houma Police Department made contact with a man, later identified as Mills, who as driving a blue Hyundai. Mills had suffered a gunshot wound to the thigh and was taken to the hospital at that time for non-life-threatening injuries.  Following his release from the hospital, Mills was brought in for questioning regarding the incident. During questioning, Mills admitted to his involvement in the incident. He was charged with aggravated assault with a firearm, aggravated criminal damage to property, and possession of a firearm by a convicted felon. He was booked into the Lafourche Parish Correctional Complex in Thibodaux. Bail has not yet been set.  Detectives are continuing to investigate the incident to find the second shooter. Anyone with information on this incident is asked to submit a tip anonymously through Bayou Region Crime Stoppers by phone at 1-800-743-7433, online at CrimeStoppersBR.org, or through the Bayou Tips app on mobile devices. Tipsters could be eligible for a reward of up to $1,000 in cash if the information leads to an arrest.  One Arrested in Weekend Shooting in Bayou Blue"
"shooting","2023-05-10","Not Discerned","{""NewYork"", ""NewYork"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vbmF1dGlsLnVzL2hvdy1jYW4td2UtZGlzY291cmFnZS1tYXNzLXNob290aW5ncy0zMDQxMDQv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 22:47:48","One question for Maurizio Porfiri and Rayan Succar, dynamical systems engineers at New York University. Porfiri directs NYU’s Dynamical Systems Laboratory and the Center for Urban Science and Progress. Succar is a engineering graduate student in Porfiri’s lab focusing on complex systems and network science.  Left photo courtesy of Maurizio Porfiri; right photo courtesy of Rayan Succar  How can we discourage mass shootings?  Maurizio Porfiri: Our work supports a no-notoriety approach, in which we want to dry up the news about mass shootings—limit the number of details—and try to disentangle the presentation of the mass shooting news from the fame it can get.  If we provide too many details, then if I am somebody who is trying to gain fame, I will use these details to plan an attack that you don’t expect, something society is not aware of. We find in our new study that the more mass shootings differ from previous history, the more they capture the attention of the public. It seems that fame-seeking mass shooters don’t aim for a high death count, but try to stand out in other ways.  Rayan Succar: We quantify fame by looking at Wikipedia. So for each shooting, we see how many people visited this Wikipedia page over time. We controlled for the number of victims and casualties, and we did not find any correlation between surprise and lethality for fame-seeking mass shooters. So they see surprise as a path to fame that’s independent of the death count.  We want to dry up the news about mass shootings.  Porfiri: From that point of view, it can help to set good guidelines and practice for the media to talk about mass shootings. On the preventative point of view, it adds some level of alert, which is related to red flag laws. Red flag laws, which can remove firearms from a person who seems to be a danger to themselves or others, have to do with some hint that some event, however unlikely, can happen, and it’s a good idea to follow up on it. When people are thinking about trying to gain fame through mass shooting, they’re looking at the details of past mass shootings and trying to distinguish themselves so as not to be the same.    Say you hear about something that to you is like, “Oh, no, nobody’s ever done it. So maybe it’s not going to happen.” No, pay attention to even these details, report them, and we should act with red flag laws to prevent any possible mass shootings that could occur.  Lead image: Usa-Pyon / Shutterstock  Brian Gallagher Brian Gallagher is an associate editor at Nautilus. Follow him on Twitter @bsgallagher."
"shooting","2023-05-15","Not Discerned","{""Farmington"", ""NewMexico"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LnRvZGF5LmNvbS9uZXdzL2Zhcm1pbmd0b24tbmV3LW1leGljby1zaG9vdGluZy1tYXktMTUtcmNuYTg0NTUw0gEpaHR0cHM6Ly93d3cudG9kYXkuY29tL3RvZGF5L2FtcC9yY25hODQ1NTA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 20:05:20","Four people, including a suspect, were killed and two police officers wounded during a shooting in northwest New Mexico on Monday, authorities said.  Three “civilian victims” were killed, Farmington police said, in addition to one suspect who was “confronted and killed on scene.”  One Farmington police officer and one member of the state police were also wounded, Farmington police said. Both were stable.  New Mexico shooting  “The suspect’s identity is unknown and there are no other known threats at this time,” according to a police statement. “At this time we don’t believe there is a second suspect.”  Police had Farmington Municipal Schools lock down at 11:15 a.m. MT, officials said. That order was lifted by 1:05 p.m.  Bureau of Alcohol, Tobacco, Firearms and Explosives agents and San Juan County Sheriff’s deputies also responded to the shooting.  Investigators were concentrating their work on Dustin Avenue between Ute and Apache streets in Farmington, officials said.  The city, with a population of a little over 46,000, is about 200 miles northwest of Santa Fe, the state’s capital.  Monday’s mass shooting comes on the heels of two others in the past nine days. Two people were killed and five others were injured in a shooting Saturday night in Yuma, Arizona, police said.  Seven victims, all male, were found with gunshot wounds. Two of the victims, 19 and 20 years old, were taken to Yuma Regional Medical Center, where they were pronounced dead. No suspects were in custody.  A week before that shooting, a gunman killed eight people at a Dallas-area outlet mall.  The 33-year-old shooter, a neo-Nazi sympathizer with an AR-15-style assault weapon, was killed by an officer who happened to be at the shopping center in Allen, authorities said.  The victims included a young boy and his parents, two elementary school-age sisters, a security guard working toward his goals and an engineer with a new master’s degree.  This is a developing story. Please check back for updates. This story first appeared on NBCNews.com."
"shooting","2023-05-14","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmxhdGltZXMuY29tL2NhbGlmb3JuaWEvc3RvcnkvMjAyMy0wNS0xNS9hLXllYXItbGF0ZXItdGFpd2FuZXNlLWNodXJjaC1yZW1lbWJlcnMtbWFzcy1zaG9vdGluZy1pbi1sYWd1bmEtd29vZHPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 12:00:01","The church choir performs during the memorial service marking the one-year anniversary of the mass shooting at Irvine Taiwanese Presbyterian Church in Laguna Woods.  When Feng Feng Lee saw a strange man with closely cropped white hair at her church, she didn’t think much of it.  Hours later, the man opened fire at a luncheon, wounding five parishioners and killing a 52-year-old man who had accompanied his mother to church.  Now, Lee has flashbacks about that day a year ago at Irvine Taiwanese Presbyterian Church in Laguna Woods. Her husband, a doctor, checking on the injured as they cried out in pain. The agonized words from the mother of the man who died charging at the gunman — she did not want her son to be a hero but only to be there with her.  Shooting survivor Feng Feng Lee speaks at the one-year anniversary of the attack at Irvine Taiwanese Presbyterian Church in Laguna Woods. (Gina Ferazzi / Los Angeles Times)  Advertisement  Lee can’t shake the guilt that she should have done more.  “We didn’t prevent the stranger from coming. … The bad guy pretended to be one of us,” said Lee, 77, who on Sunday attended a gathering at the church to mark the one-year anniversary of the shooting.  Lee and most of the hundreds of others at Sunday’s commemoration spoke in the Taiwanese dialect, as they typically do during church services. One parishioner wore a yellow hat that read “Yes! Taiwan.” The choir sang “Hometown at Dusk,” a Taiwanese song from the 1950s popular with those living overseas and those supporting an open declaration of the island’s independence.  The gunman, according to prosecutors, hated them for that.  On Sunday, some said their belief in God had been shaken, but many said that grappling with the tragedy has renewed their faith.  “I don’t think anyone’s scared,” said Tony Chen, a 76-year-old church elder.  Parishioner Jerry Chen, right, helps visually impaired shooting survivor Li-Yen Hong to the lectern during the one-year commemoration. (Gina Ferazzi / Los Angeles Times)  David Wenwei Chou, 69, has been charged in both state and federal court with murder, attempted murder and hate crimes, with prosecutors alleging that he targeted the church because of the congregants’ Taiwanese national origin.  He pleaded not guilty to the state charges and has yet to make a court appearance in the federal case.  Chou was born in Taiwan and was from a family with recent roots in China, which considers the island democracy part of its territory. According to local law enforcement, Chou left notes in his car opposing Taiwanese independence.  Jerry Chen, 73, said he is in touch with the mother of John Cheng, who died in the shooting, which makes it hard for him to forgive Chou.  “She blamed herself and said, ‘How am I going to face my daughter-in-law?’ ” Chen wrote in a commemorative book recently published by the church.  She said she should not have tried to get her son to go to church with her that day, Chen wrote.  Of Chou, Chen wrote: “His hatred for Taiwan and Taiwanese people led him to live in sorrow. God is love, and the Devil is hatred. Because of hatred, the shooter became a disciple of Devil.”  On Sunday, Billy Chang, the church’s former longtime pastor, spoke of the “confusion” of emotions in a recorded video from Taiwan. He was being honored at the luncheon last May when Chou began shooting. After Cheng’s doomed attempt to stop Chou, Chang struck Chou with a chair and hogtied him with the help of others.  “I am very grateful and full of gratitude, but on the other hand, I often cry, feeling sad, heartbroken and regretful,” Chang said.  Parishioners and members of the Taiwanese community attend the one-year anniversary memorial service. (Gina Ferazzi / Los Angeles Times)  Another speaker, Carol Lin, recalled being at a new year’s celebration in Taiwan earlier this year and hearing celebratory firecrackers that reminded her of the shooting.  “Rain and tears were all together,” Lin said.  Peter Chen, a representative from the Formosan Assn. for Public Affairs, which advocates for Taiwanese independence, said Cheng, who was a sports medicine doctor, represented the “true spirit” of the Taiwanese people.  “The heroic action of Dr. Cheng is not only honorable but also holy. His bravery truly represents the Taiwanese value of peace-loving,” Chen said. “Dr. Cheng, not only will you not be forgotten, but you will forever inspire us.”  The church’s full name is Irvine Taiwanese Presbyterian Church, but it rents space from Geneva Presyterian Church in Laguna Woods. A week after the May 15 shooting, parishioners returned to worship and have found solace there ever since.  But only last month did they resume their post-service luncheons in the room where the shooting happened — it had been too difficult to share a meal there.  Over lunch, they once again spoke of their lives and their families. Attendance at the church has been growing and remains “very healthy,” said pastor Albany Lee.  But like many immigrant congregations, the members are aging. Lee wonders how the next generation will reshape the church — perhaps they will speak Mandarin, not Taiwanese.  “I cannot foretell the church’s future,” Lee said. “But I will be here for a while.”  Special correspondent M. Benson Huang contributed to this report."
"shooting","2023-05-13","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvZGFsbGFzLXNob290aW5nLWFuYS1tb3Jlbm8ta2lsbGVkLXByb20tZHJlc3Mv0gFOaHR0cHM6Ly93d3cuY2JzbmV3cy5jb20vYW1wL25ld3MvZGFsbGFzLXNob290aW5nLWFuYS1tb3Jlbm8ta2lsbGVkLXByb20tZHJlc3Mv?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 18:00:00","Dallas police: 1 woman dead, 3 men injured after shooting in Pleasant Grove Dallas police: 1 woman dead, 3 men injured after shooting in Pleasant Grove 02:24  A woman was killed in the crossfire of a shooting on a Dallas street as she and one of her daughters were on their way to get a prom dress, her family said. No suspects were in custody in the deadly shootout between two vehicles over Mother's Day weekend, police said.  Ana Moreno, 39, was driving with her daughter Amy Rodriguez late Saturday afternoon to pick up a dress for Rodriguez's prom that night when they heard gunfire, CBS Texas reports.  ""All we heard was gunshots,"" Rodriguez told the station Sunday. ""She was about to stop when I told her to step on it, and all I remember was she fell on my shoulder.""  One of the bullets fired during the shootout entered their car and hit Moreno, killing her, police said in a statement. Rodriguez told CBS Texas they lost control of the vehicle, and it crashed.  Rodriguez said losing her mother wasn't something she was prepared for. ""I have to push through. It's what she would have wanted,"" Rodriguez told CBS Texas.  Three male victims were also shot during the shootout, police said. They were listed in critical condition at local hospitals.  Anyone with information about the shooting was urged to contact police.  The shooting happened a week after a shooter killed eight people — including a 3-year-old boy and two young sisters — at a mall in Allen, Texas, north of Dallas, before the gunman was fatally shot by police."
"shooting","2023-05-14","11:00:00","{""SouthCharleston"", ""WestVirginia"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMijAFodHRwczovL3d3dy53b3drdHYuY29tL25ld3Mvd2VzdC12aXJnaW5pYS9rYW5hd2hhLWNvdW50eS13di9zb3V0aC1jaGFybGVzdG9uLWNvbW11bml0eS1yZWFjdHMtdG8ta3JvZ2VyLXNob290aW5nLWludmVzdGlnYXRpb24tc3RpbGwtYWN0aXZlL9IBkAFodHRwczovL3d3dy53b3drdHYuY29tL25ld3Mvd2VzdC12aXJnaW5pYS9rYW5hd2hhLWNvdW50eS13di9zb3V0aC1jaGFybGVzdG9uLWNvbW11bml0eS1yZWFjdHMtdG8ta3JvZ2VyLXNob290aW5nLWludmVzdGlnYXRpb24tc3RpbGwtYWN0aXZlL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 00:01:25","SOUTH CHARLESTON, WV (WOWK) – South Charleston community members were visibly shaken by what happened during Sunday’s Kroger shooting, especially because the shooting happened on Mother’s Day.  One day later, emotions have settled down, and community members keep echoing the same message: South Charleston is typically a safe community, and the shooting was anything but normal.  “It’s a pretty unusual thing in South Charleston to have something like that happen. I’m just happy no one else got seriously hurt. I’m obviously disappointed at what happened here, but this just shows you even in South Charleston, West Virginia, we’re not immune to this type of thing,” South Charleston Mayor Frank Mullens said.  The shooting happened just after 11 a.m., Sunday, May 14, 2023 and the store was closed for several hours afterward.  “I was just thinking this world that we live in is crazy. I didn’t know what really had happened, but everybody in the parking lot even heard the gunshot,” said a woman who witnessed the incident but didn’t want to be named.  The witness said she was inside Kroger at the register when the shooting happened.  “I witnessed people running out of the store. I heard loud voices. I did not hear the shot, but apparently everyone else did,” she said.  The woman said the entire store emptied out immediately.  Close Thanks for signing up! Watch for us in your inbox.  “An employee said, ‘run, get in your car, and leave.’ I have to say the police were here in one second, so it was a great response,” the woman said.  The woman said she still feels safe shopping at the South Charleston Kroger despite the incident.  According to the criminal complaint, by the time police arrived at the scene, the suspect had already left and was near the Krispy Kreme just a few feet away.  Spencer is currently at the South-Central Regional Jail facing attempted murder and wanton endangerment charges.  “Things like this don’t happen in South Charleston,” said Captain Andrew Gordon, Deputy Chief Bureau Commander of the SCPD. “Without getting overly involved in the investigation, these people that were involved in the incident yesterday had prior knowledge of each other. They knew each other.”  Spencer was convicted in 2015 for drug possession with intent to deliver, meaning that she was not legally allowed to possess a gun, according to court records.  “Part of that is taking into consideration when you have an incident involving a firearm or weapon, if someone is prohibited from having that, that could mean additional charges. There’s other factors and other things that are being investigated that could mean additional charges as well,” Gordon said.  Kroger said they will not be commenting at this time because the investigation is still ongoing."
"shooting","2023-05-14","Not Discerned","{""Ohio"", ""NewYork"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmNsZXZlbGFuZDE5LmNvbS8yMDIzLzA1LzE1L21hbi1pbmp1cmVkLWFmdGVyLXNob290aW5nLWJhcmJlcnRvbi1zdW5kYXktZXZlbmluZy1wb2xpY2Utc2F5L9IBdWh0dHBzOi8vd3d3LmNsZXZlbGFuZDE5LmNvbS8yMDIzLzA1LzE1L21hbi1pbmp1cmVkLWFmdGVyLXNob290aW5nLWJhcmJlcnRvbi1zdW5kYXktZXZlbmluZy1wb2xpY2Utc2F5Lz9vdXRwdXRUeXBlPWFtcA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 22:45:00","BARBERTON, Ohio (WOIO) - A man was injured after a Sunday evening shooting, according to the Barberton Police Department.  Police say officers responded to the area of Fifth Street Northeast and Jefferson Avenue for a report of gunshots.  Officers located a man who has been shot, police say.  The victim was taken to a nearby hospital with non-life-threatening injuries, police say.  This is an active and ongoing investigation by Barberton Detectives and no further information is available at this time.  This is a developing story. Return to 19 News for updates.  Copyright 2023 WOIO. All rights reserved."
"shooting","2023-05-15","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmZveDRuZXdzLmNvbS9uZXdzL3NlYWdvdmlsbGUtc3VzcGVjdC1pbi1jdXN0b2R5LWFmdGVyLWFsbGVnZWRseS1zaG9vdGluZy1hdC1vZmZpY2Vyc9IBZGh0dHBzOi8vd3d3LmZveDRuZXdzLmNvbS9uZXdzL3NlYWdvdmlsbGUtc3VzcGVjdC1pbi1jdXN0b2R5LWFmdGVyLWFsbGVnZWRseS1zaG9vdGluZy1hdC1vZmZpY2Vycy5hbXA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 21:37:46","Seagoville Police say a suspect is in custody after a massive standoff.  42-year-old Ronald Segroves was arrested on Monday afternoon.  Police say his mother called 911 saying her son was having some sort of mental health crisis.  ""I was looking on my house camera, and I saw my son break someone’s window,"" the mom said, who did not want to share her name.  It was then that the mom knew something was terribly wrong.  ""He was trespassing. We had thrown him out a couple of days before,"" she said. ""How he got in the house? I don’t know. I guess the key.""  When officers arrived, police say Segroves ended opened fire at officers with a rifle.  ""They were getting a mental evaluation to come talk to him. And when they pulled up, he started shooting,"" she said.  No officers were hit, and Segroves mother tells FOX 4 none of them fired at her son either. Police eventually got him into custody.  ""The mental illness. People don’t get any help until someone gets hurt,"" the mom said. ""And I was scared for other people. The things he’d been saying, the things he says on a camera. I just want him to get some help.""  Segrove’s mother says her son was diagnosed with paranoid schizophrenia several years ago. She says it’s been an uphill battle to get him better.  ""Doing awesome on meds. And then when he got off of them when the courts took him off probation, they took him off, he quit taking him,"" she said.  And now, Segrove could be facing jail time. Police haven’t announced yet what, if any, charges they may file against him.  ""Unfortunately, he’ll serve sometime for this,"" she said. ""But the mental system is wasted. It’s gone. It’s in the back road. Everything else is first."""
"shooting","2023-05-13","Not Discerned","{""Augusta"", ""Georgia"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3Lnd3bnl0di5jb20vMjAyMy8wNS8xNS8yLWtpbGxlZC00LWh1cnQtc2hvb3RpbmctbW90b3JjeWNsZS1jbHViLWV2ZW50LWdlb3JnaWEv0gFoaHR0cHM6Ly93d3cud3dueXR2LmNvbS8yMDIzLzA1LzE1LzIta2lsbGVkLTQtaHVydC1zaG9vdGluZy1tb3RvcmN5Y2xlLWNsdWItZXZlbnQtZ2VvcmdpYS8_b3V0cHV0VHlwZT1hbXA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 17:45:00","AUGUSTA, Ga. (WRDW/WAGT/Gray News) - A weekend shooting left two dead and four others injured Saturday evening stemmed from a dispute between two motorcycle clubs, Richmond County Sheriff Richard Roundtree said in a news conference on Monday.  Richmond County Coroner Mark Bowen identified those who died as Keith Coates, 30, of Valdosta, and Germayne Farrell, 51, of Daytona Beach, Florida.  Roundtree said this shooting adds Augusta to the list of over 280 mass shootings seen so far in 2023.  “Gun violence has risen nationwide this year, and sadly, Augusta is not exempt,” said Roundtree.  Left to right, top to bottom: 31-year-old James Bryant, 39-year-old Freddie Crosson, 38-year-old Tyson Harper, 26-year-old McKayla Rickett, 44-year-old Larry Ross, 30-year-old Cory Sapp, 30-year-old Jessica Sapp, 42-year-old Larry Sutton, 43-year-old Kenneth Taylor, 28-year-old Matthew Willis are all suspects in a deadly mass shooting that happened in Augusta, Georgia, Saturday night. (Contributed)  The shooting occurred at the clubhouse of the Outcast Motorcycle Club and involved members of that club and the rival Thug Riders.  Roundtree says 10 suspects were arrested and charged with two counts of murder and one count of aggravated assault. Three are still receiving treatment, including Deja Dotson and Jonathan Keaton, who have arrest warrants issued. Only one suspect has a local address.  Roundtree says the city hosted the Augusta Air Show and Mayfest, and several Thug Rider members attended before traveling to the Outcast clubhouse.  “We didn’t know that trouble was coming to our city. We didn’t know that trouble was already in our city,” he said.  The suspects range in age from 44 to 26, and hailed from Georgia, North Carolina and Florida. Four suspects were a part of the Outcast Motorcycle Club, and eight were Thug Riders.  Roundtree confirmed a fire vehicle ran over a dead body on the scene. He said fire personnel did not see the person, and the agency has a traffic report that is not yet available for release.  “To bring this type of violence to our city, to add us to a national mass shooting list is unconscionable. This is something we will not tolerate here in Richmond County. That is why each individual who is involved or we feel to be involved or has any part in this will face charges,” he said.  He says there was no lack of police presence in the city. Roundtree said they had more deputies on the roads because they were leaving two events.  At least 20 officers were on the scene, and he said you could hear gunfire from a few blocks away.  “While this incident of violence is horrific, and many of the other tragic incidents that have occurred in this country and will still occur ... my light will continue to push forward in the confidence that I have in the men and women of the Richmond County Sheriff’s Office and the citizens of Richmond County,” said Roundtree.  Investigators found more than 150 shell casings on the scene. Roundtree says this was an “extremely large scene,” and kids were playing outside in a neighborhood right down the street.  “With 150 rounds, I’m sure it was more than two individuals,” he said.  Officials said they believe people from Florida traveled three to four hours to engage in the targeted attack. They believe it stemmed from a recent incident that started in Florida, but additional information on that wasn’t released.  In response to the shooting, regional affiliates with the clubs were mobilizing to retaliate again in Augusta, Roundtree said. The sheriff’s office briefed Mayor Garnett Johnson and other city officials about the potential threat of another major shooting. The sheriff says there’s still an ongoing threat, but they’re prepared.  “We continue to monitor this situation in real-time, and we will advise the public of any confirmed threat if they develop,” said Roundtree.  He said 13 motorcycles were taken into evidence, along with one car and 10 firearms. Weapons were found inside the clubhouse, vehicles and nearby businesses from when the suspects fled the scene.  One Richmond County patrol car was also hit in the shooting.  Copyright 2023 WRDW/WAGT via Gray Media Group, Inc. All rights reserved."
